Wall time,Step,Value
1551635429.8969998,84601,-1.5145220756530762
1551635465.624,85089,-1.5182161331176758
1551635497.099,85169,-1.5191417932510376
1551635531.244,85508,-1.5172582864761353
1551635531.564,85539,-1.517760157585144
1551635533.074,85686,-1.5219743251800537
1551635567.851,86014,-1.5150872468948364
1551635668.592,86780,-1.5163756608963013
1551635669.472,86865,-1.5192217826843262
1551635701.544,87008,-1.515053153038025
1551635736.911,87393,-1.5161142349243164
1551635770.529,87666,-1.5224066972732544
1551635772.1990001,87829,-1.519038200378418
1551635806.165,88137,-1.5142768621444702
1551635873.8470001,88674,-1.5161023139953613
1551635905.937,88815,-1.5198158025741577
1551635942.3500001,89347,-1.5140728950500488
1551635942.52,89363,-1.5142935514450073
1551636008.263,89745,-1.5143028497695923
1551636010.573,89973,-1.5141397714614868
1551636042.112,90035,-1.5168688297271729
1551636044.177,90237,-1.5198372602462769
1551636180.993,91300,-1.5160144567489624
1551636215.239,91624,-1.5186986923217773
1551636215.47,91647,-1.520531177520752
1551636216.34,91732,-1.5162466764450073
1551636216.37,91735,-1.517025113105774
1551636282.9420002,92120,-1.5158283710479736
1551636351.963,92729,-1.5168968439102173
1551636352.568,92788,-1.5190000534057617
1551636387.609,93126,-1.6761276721954346
1551636388.609,93223,-1.676127314567566
1551636422.412,93471,-1.5202926397323608
1551636489.584,93901,-1.52093505859375
1551636532.2129998,94536,-1.5154838562011719
1551636566.5619998,94784,-1.5170118808746338
1551636600.7740002,95057,-1.5185503959655762
1551636635.4819999,95321,-1.5143696069717407
1551636636.0470002,95377,-1.513169288635254
1551636668.669,95480,-1.5180613994598389
1551636708.8060002,95949,-1.5189318656921387
1551636709.041,95972,-1.519428014755249
1551636744.345,96301,-1.5158908367156982
1551636778.425,96535,-1.5154846906661987
1551636779.08,96600,-1.5154199600219727
1551636849.387,97226,-1.5204825401306152
1551636883.051,97416,-1.5150312185287476
1551636916.8579998,97596,-1.572388768196106
1551636918.908,97796,-1.5154858827590942
1551636919.7180002,97876,-1.5135785341262817
1551636952.572,97986,-1.5148600339889526
1551636986.879,98212,-1.517529010772705
1551636989.764,98474,-1.5166631937026978
1551637060.243,99055,-1.518843412399292
1551637128.891,99506,-1.530276894569397
1551637130.0110002,99614,-1.518117904663086
1551637165.133,99884,-1.515474557876587
1551637236.964,100589,-1.5195101499557495
1551637272.152,100858,-1.5150034427642822
1551637304.855,100917,-1.665326476097107
1551637309.205,100997,-1.5164909362792969
1551637309.9699998,101072,-1.5158782005310059
1551637343.8140001,101234,-1.5241338014602661
1551637344.879,101335,-1.5231605768203735
